iter	Passed	Remaining
626	1041	619
627	1042	617
628	1043	615
629	1044	613
630	1045	611
631	1046	609
632	1047	607
633	1048	605
634	1051	604
635	1054	603
636	1055	601
637	1056	599
638	1057	597
639	1059	595
640	1061	594
641	1062	592
642	1063	590
643	1063	588
644	1064	585
645	1065	584
646	1066	582
647	1067	579
648	1068	578
649	1069	575
650	1070	573
651	1071	571
652	1072	569
653	1073	568
654	1074	566
655	1075	563
656	1076	562
657	1078	560
658	1079	558
659	1080	556
660	1081	554
661	1085	554
662	1086	552
663	1087	550
664	1089	548
665	1090	547
666	1091	545
667	1092	542
668	1093	540
669	1093	538
670	1094	536
671	1095	534
672	1096	532
673	1098	531
674	1099	529
675	1101	527
676	1102	526
677	1104	524
678	1105	522
679	1106	520
680	1108	519
681	1109	517
682	1110	515
683	1111	513
684	1115	512
685	1116	511
686	1118	509
687	1119	507
688	1121	506
689	1122	504
690	1124	502
691	1125	501
692	1127	499
693	1129	497
694	1130	495
695	1131	494
696	1132	492
697	1134	490
698	1135	489
699	1137	487
700	1137	485
701	1140	484
702	1142	482
703	1142	480
704	1144	479
705	1146	477
706	1147	475
707	1148	473
708	1149	471
709	1149	469
710	1151	467
711	1153	466
712	1154	464
713	1157	463
714	1159	462
715	1160	460
716	1161	458
717	1162	456
718	1163	454
719	1165	453
720	1166	451
721	1167	449
722	1169	448
723	1170	446
724	1172	444
725	1174	443
726	1176	441
727	1180	440
728	1183	439
729	1184	438
730	1186	436
731	1188	434
732	1190	433
733	1191	431
734	1193	430
735	1194	428
736	1196	426
737	1199	425
738	1204	425
739	1206	423
740	1208	422
741	1209	420
742	1211	419
743	1213	417
744	1215	416
745	1217	414
746	1221	413
747	1223	412
748	1227	411
749	1244	414
750	1245	412
751	1246	411
752	1247	409
753	1248	407
754	1248	405
755	1249	403
756	1250	401
757	1251	399
758	1252	397
759	1253	395
760	1254	393
761	1255	391
762	1256	390
763	1258	388
764	1259	387
765	1261	385
766	1261	383
767	1262	381
768	1263	379
769	1264	377
770	1265	375
771	1266	374
772	1267	372
773	1268	370
774	1269	368
775	1270	366
776	1271	364
777	1272	363
778	1273	361
779	1277	360
780	1278	358
781	1279	356
782	1280	354
783	1280	352
784	1281	351
785	1282	349
786	1283	347
787	1284	345
788	1285	343
789	1286	341
790	1287	340
791	1288	338
792	1289	336
793	1291	334
794	1291	333
795	1292	331
796	1293	329
797	1294	327
798	1295	325
799	1296	324
800	1297	322
801	1298	320
802	1298	318
803	1299	316
804	1300	315
805	1303	313
806	1303	311
807	1304	310
808	1305	308
809	1306	306
810	1307	304
811	1308	302
812	1309	301
813	1309	299
814	1310	297
815	1311	295
816	1312	293
817	1313	292
818	1314	290
819	1315	288
820	1316	287
821	1317	285
822	1317	283
823	1318	281
824	1319	279
825	1320	278
826	1321	276
827	1322	274
828	1322	272
829	1323	271
830	1324	269
831	1324	267
832	1325	265
833	1326	264
834	1327	262
835	1328	260
836	1329	258
837	1331	257
838	1331	255
839	1332	253
840	1333	252
841	1335	250
842	1336	248
843	1336	247
844	1338	245
845	1339	243
846	1340	242
847	1341	240
848	1342	238
849	1342	236
850	1343	235
851	1344	233
852	1345	231
853	1346	230
854	1347	228
855	1348	226
856	1348	225
857	1349	223
858	1350	221
859	1351	219
860	1352	218
861	1353	216
862	1355	215
863	1356	213
864	1357	211
865	1359	210
866	1360	208
867	1360	206
868	1361	205
869	1362	203
870	1363	201
871	1365	200
872	1366	198
873	1367	197
874	1367	195
875	1368	193
876	1369	192
877	1370	190
878	1370	188
879	1371	187
880	1372	185
881	1372	183
882	1373	182
883	1374	180
884	1375	178
885	1376	177
886	1377	175
887	1378	173
888	1379	172
889	1379	170
890	1380	168
891	1381	167
892	1382	165
893	1383	164
894	1383	162
895	1384	160
896	1385	159
897	1385	157
898	1386	155
899	1387	154
900	1388	152
901	1388	150
902	1389	149
903	1390	147
904	1391	146
905	1392	144
906	1392	142
907	1393	141
908	1394	139
909	1395	138
910	1396	136
911	1397	134
912	1397	133
913	1398	131
914	1399	129
915	1400	128
916	1401	126
917	1402	125
918	1403	123
919	1404	122
920	1404	120
921	1405	118
922	1406	117
923	1407	115
924	1408	114
925	1409	112
926	1409	111
927	1410	109
928	1411	107
929	1412	106
930	1413	104
931	1414	103
932	1414	101
933	1416	100
934	1417	98
935	1418	97
936	1419	95
937	1420	93
938	1421	92
939	1422	90
940	1423	89
941	1424	87
942	1425	86
943	1426	84
944	1427	83
945	1429	81
946	1430	80
947	1431	78
948	1432	76
949	1433	75
